label,srtt,rtt,mdev,inflight,lost,recv_rtt,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
unknown,105267,725233,80941,78,0,0,0,0,105,1943077,18446744073709551615,29357
unknown,51829,607041,84465,106,0,0,0,0,106,2343506,18446744073709551615,29447
unknown,27651,689412,99791,106,0,0,0,0,106,2063504,18446744073709551615,29589
unknown,37985,885622,167511,107,0,0,0,0,107,1621488,18446744073709551615,29702
unknown,155325,974702,189095,50,0,0,0,0,107,1473297,18446744073709551615,29765
unknown,174037,1167588,236728,108,0,0,0,0,108,1241402,18446744073709551615,29811
unknown,121320,1176507,114794,86,0,0,0,0,109,1243398,18446744073709551615,29913
unknown,129654,1078035,49524,106,0,0,0,0,111,1381874,18446744073709551615,29991
unknown,111610,1090590,64099,112,0,0,0,0,112,1378271,18446744073709551615,30041
unknown,117203,1171695,109562,96,0,0,0,0,116,1328684,18446744073709551615,30177
unknown,42039,506882,122654,116,0,0,0,0,117,3097828,18446744073709551615,30273
unknown,129887,801406,200191,119,0,0,0,0,119,1992841,18446744073709551615,30354
unknown,115664,1004290,134699,102,0,0,0,0,121,1616979,18446744073709551615,30437
unknown,109904,1072592,102427,124,0,0,0,0,124,1551549,18446744073709551615,30549
unknown,67802,1034597,67376,108,0,0,0,0,128,1660416,18446744073709551615,30687
unknown,69879,413129,34301,128,0,0,0,0,130,4223145,18446744073709551615,30803
unknown,33889,586634,103754,112,0,0,0,0,134,3065603,18446744073709551615,30979
unknown,47961,532519,93740,114,0,0,0,0,134,3377132,18446744073709551615,31007
unknown,171722,1256245,128038,122,0,0,0,0,140,1495657,18446744073709551615,31151
unknown,64081,1270946,110730,140,0,0,0,0,140,1478357,18446744073709551615,31167
unknown,61073,852778,180352,105,0,0,0,0,148,2329185,18446744073709551615,31395
