label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered,bytes_acked
wi-fi,37.65.43.81,57822,465852,1007,38070,1836,0,0,0,1843,54994235,328600,475786696
wi-fi,37.65.43.81,62178,500364,633,38070,1832,0,0,1,1844,51228855,331554,480062640
wi-fi,37.65.43.81,56794,453883,466,38070,1846,0,0,2,1844,56475072,334647,484539856
wi-fi,37.65.43.81,57363,457332,713,38070,1829,0,0,1,1845,56079557,338031,489441336
wi-fi,37.65.43.81,54777,438643,655,38070,1818,0,0,0,1846,58500595,341300,494176296
wi-fi,37.65.43.81,56471,449758,792,38070,1821,0,0,2,1846,57054853,344600,498951800
wi-fi,37.65.43.81,55779,445004,542,38070,1837,0,0,3,1847,57695610,348027,503912648
wi-fi,37.65.43.81,57555,462124,793,38070,1815,0,0,0,1847,55558199,351351,508730144
wi-fi,37.65.43.81,57101,455590,549,38070,1836,0,0,1,1847,56355006,354498,513285552
wi-fi,37.65.43.81,54792,438261,450,38070,1812,0,0,0,1848,58615022,357603,517783040
wi-fi,37.65.43.81,55595,447573,636,38070,1844,0,0,0,1848,57395505,360966,522652664
wi-fi,37.65.43.81,55183,441772,420,38070,1818,0,0,0,1848,58149177,363978,527014040
wi-fi,37.65.43.81,56033,447029,486,38070,1848,0,0,0,1849,57496446,367241,531738864
wi-fi,37.65.43.81,55209,444639,894,38070,1847,0,0,0,1849,57805498,370601,536604144
wi-fi,37.65.43.81,58101,465726,609,38070,1818,0,0,0,1849,55188199,373890,541366616
wi-fi,37.65.43.81,56982,456953,862,38070,1845,0,0,1,1849,56247752,376940,545781568
wi-fi,37.65.43.81,58311,466488,927,38070,1821,0,0,0,1849,55098050,379956,550150184
wi-fi,37.65.43.81,58664,468109,485,38070,1837,0,0,2,1849,54907252,383019,554582512
wi-fi,37.65.43.81,61313,490250,367,38070,1849,0,0,0,1849,52427494,386022,558933752
wi-fi,37.65.43.81,58108,472595,807,38070,1844,0,0,1,1849,54386058,389065,563338568
wi-fi,37.65.43.81,57411,461145,619,38070,1846,0,0,1,1849,55736436,392331,568067736
wi-fi,37.65.43.81,65497,522618,483,38070,1849,0,0,2,1849,49180432,395213,572239424
wi-fi,37.65.43.81,59212,477393,702,38070,1849,0,0,0,1849,53839455,398166,576518264
wi-fi,37.65.43.81,59334,475071,696,38070,1850,0,0,1,1849,54102606,401333,581102632
wi-fi,37.65.43.81,59290,475412,1047,38070,1827,0,0,0,1849,54063799,404341,585459664
wi-fi,37.65.43.81,57165,455273,1112,38070,1841,0,0,0,1849,56455311,407480,590004936
wi-fi,37.65.43.81,63680,509300,415,38070,1849,0,0,0,1849,50466481,410420,594262056
wi-fi,37.65.43.81,60237,482919,917,38070,1834,0,0,3,1849,53223375,413643,598924616
wi-fi,37.65.43.81,57957,464899,753,38070,1847,0,0,0,1849,55286372,416631,603255584
wi-fi,37.65.43.81,58029,462809,560,38070,1828,0,0,2,1849,55536040,419778,607809544
wi-fi,37.65.43.81,59414,474358,454,38070,1841,0,0,1,1849,54183926,422911,612347576
wi-fi,37.65.43.81,61509,490618,661,38070,1830,0,0,0,1849,52388170,426016,616845064
wi-fi,37.65.43.81,60717,484908,369,38070,1846,0,0,0,1849,53005063,429112,621328072
wi-fi,37.65.43.81,58377,472669,907,38070,1841,0,0,0,1849,54377543,432102,625657592
wi-fi,37.65.43.81,60765,485091,911,38070,1848,0,0,0,1849,52985067,435120,630027656
wi-fi,37.65.43.81,60082,486189,786,38070,1829,0,0,2,1849,52865406,438125,634376000
wi-fi,37.65.43.81,59498,475784,592,38070,1839,0,0,0,1849,54021529,441214,638851768
wi-fi,37.65.43.81,62231,496850,431,38070,1832,0,0,0,1849,51731064,444302,643323192
wi-fi,37.65.43.81,60002,480042,522,38070,1839,0,0,1,1849,53542355,447283,647638232
wi-fi,37.65.43.81,59177,472073,562,38070,1840,0,0,1,1850,54475642,450384,652128480
wi-fi,37.65.43.81,59967,478497,775,38070,1819,0,0,0,1850,53744286,453459,656582528
wi-fi,37.65.43.81,60003,478884,504,38070,1840,0,0,0,1850,53700854,456452,660916392
wi-fi,37.65.43.81,56820,454945,846,38070,1839,0,0,0,1850,56526569,459730,665662936
wi-fi,37.65.43.81,59903,479689,868,38070,1828,0,0,2,1851,53639714,462774,670067752
wi-fi,37.65.43.81,59258,473356,457,38070,1838,0,0,2,1851,54357356,465749,674375552
wi-fi,37.65.43.81,61988,501003,1200,38070,1849,0,0,0,1851,51357737,468728,678692040
wi-fi,37.65.43.81,59342,476498,484,38070,1833,0,0,2,1852,54028100,471867,683234416
wi-fi,37.65.43.81,61609,492780,293,38070,1826,0,0,0,1853,52271160,474905,687636336
wi-fi,37.65.43.81,57686,462491,887,38070,1826,0,0,1,1853,55694451,477945,692036808
wi-fi,37.65.43.81,63234,505986,548,38070,1847,0,0,0,1854,50934380,481024,696496648
wi-fi,37.65.43.81,59279,471859,1278,38070,1852,0,0,0,1855,54647646,484100,700950696
wi-fi,37.65.43.81,60520,484364,462,38070,1832,0,0,0,1855,53236788,487142,705355512
wi-fi,37.65.43.81,58591,471734,1243,38070,1846,0,0,0,1856,54691594,490139,709695168
wi-fi,37.65.43.81,59280,471699,1043,38070,1827,0,0,1,1857,54725122,493244,714189760
wi-fi,37.65.43.81,60650,486502,1046,38070,1848,0,0,0,1858,53088551,496253,718547392
wi-fi,37.65.43.81,59194,476327,655,38070,1837,0,0,3,1859,54251779,499343,723016760
wi-fi,37.65.43.81,62799,500873,706,38070,1832,0,0,0,1860,51620846,502382,727420968
wi-fi,37.65.43.81,61918,492335,1680,38070,1843,0,0,3,1861,52544281,505649,732146632
wi-fi,37.65.43.81,59993,478639,867,38070,1855,0,0,0,1863,54105892,508577,736390392
wi-fi,37.65.43.81,58783,469211,522,38070,1859,0,0,0,1864,55222684,511680,740883536
wi-fi,37.65.43.81,60839,486143,524,38070,1842,0,0,3,1865,53327913,515052,745761848
wi-fi,37.65.43.81,59500,477144,229,38070,1855,0,0,2,1867,54391952,517845,749807560
wi-fi,37.65.43.81,60089,478246,1225,38070,1864,0,0,3,1868,54295685,520999,754372120
wi-fi,37.65.43.81,61544,490519,939,38070,1853,0,0,0,1870,52993861,523943,758638160
wi-fi,37.65.43.81,60828,485964,407,38070,1842,0,0,1,1871,53519184,527093,763197912
wi-fi,37.65.43.81,59821,479472,905,38070,1873,0,0,1,1873,54301811,530193,767686664
wi-fi,37.65.43.81,60207,480556,490,38070,1875,0,0,1,1875,54237175,533176,772005720
wi-fi,37.65.43.81,60960,486933,473,38070,1869,0,0,0,1876,53555418,536581,776937000
wi-fi,37.65.43.81,59677,477495,570,38070,1868,0,0,1,1879,54701312,539528,781202200
wi-fi,37.65.43.81,58094,463317,613,38070,1873,0,0,1,1881,56435237,542678,785762792
wi-fi,37.65.43.81,66599,532483,329,38070,1862,0,0,1,1883,49156886,545576,789958488
wi-fi,37.65.43.81,61528,493716,1083,38070,1870,0,0,0,1886,53101193,548542,794253488
wi-fi,37.65.43.81,61503,489954,978,38070,1879,0,0,4,1889,53594033,551522,798562128
wi-fi,37.65.43.81,61403,491902,567,38070,1863,0,0,0,1892,53466571,554886,803438384
wi-fi,37.65.43.81,63531,507078,511,38070,1868,0,0,0,1894,51921233,557741,807571816
wi-fi,37.65.43.81,63739,508630,565,38070,1884,0,0,0,1897,51844794,560802,812003536
wi-fi,37.65.43.81,60139,482805,717,38070,1897,0,0,3,1900,54704321,563922,816516344
wi-fi,37.65.43.81,66496,529831,942,38070,1892,0,0,1,1903,49927660,566785,820664256
wi-fi,37.65.43.81,61426,491816,603,38070,1888,0,0,1,1906,53871620,569816,825052536
wi-fi,37.65.43.81,60740,484169,867,38070,1876,0,0,1,1909,54808604,572869,829472064
wi-fi,37.65.43.81,61976,494270,724,38070,1885,0,0,1,1912,53772896,576035,834055824
wi-fi,37.65.43.81,63973,513016,1175,38070,1896,0,0,0,1916,51916378,579039,838406456
wi-fi,37.65.43.81,61912,493859,827,38070,1907,0,0,1,1920,54042825,582123,842870032
wi-fi,37.65.43.81,63425,505609,916,38070,1907,0,0,0,1923,52869388,585113,847200392
wi-fi,37.65.43.81,61555,490950,665,38070,1904,0,0,0,1927,54561241,588202,851672656
wi-fi,37.65.43.81,64598,514767,985,38070,1924,0,0,0,1931,52144843,590856,855515040
wi-fi,37.65.43.81,61464,491787,547,38070,1928,0,0,4,1934,54666242,593580,859452992
wi-fi,37.65.43.81,64190,512113,666,38070,1929,0,0,0,1940,52659377,597207,864710072
wi-fi,37.65.43.81,63203,506637,711,38070,1939,0,0,1,1944,53338297,599910,868621960
wi-fi,37.65.43.81,61603,492886,474,38070,1943,0,0,5,1948,54939191,602631,872555568
wi-fi,37.65.43.81,63968,510190,634,38070,1955,0,0,1,1954,53239309,606240,877785976
wi-fi,37.65.43.81,64287,513599,268,38070,1955,0,0,1,1958,52994196,608982,881755784
wi-fi,37.65.43.81,64626,517014,547,38070,1957,0,0,0,1963,52778590,611679,885661880
wi-fi,37.65.43.81,66125,527859,546,38070,1967,0,0,4,1970,51878581,615305,890905928
wi-fi,37.65.43.81,61107,494250,594,38070,1961,0,0,0,1975,55546949,618036,894865600
wi-fi,37.65.43.81,59431,478433,597,38070,1976,0,0,0,1981,57557661,621644,900089376
wi-fi,37.65.43.81,65902,526425,384,38070,1975,0,0,0,1986,52442396,624361,904022984
wi-fi,37.65.43.81,62327,498074,273,38070,1970,0,0,0,1991,55567029,627082,907962384
wi-fi,37.65.43.81,65528,522304,825,38070,1986,0,0,0,1998,53175542,630706,913208720
wi-fi,37.65.43.81,65996,532321,702,38070,1995,0,0,0,2003,52305474,633414,917129296
wi-fi,37.65.43.81,65884,526335,821,38070,2002,0,0,0,2009,53058807,636123,921051320
wi-fi,37.65.43.81,68817,552265,1004,38070,2005,0,0,1,2017,50768948,639749,926299712
wi-fi,37.65.43.81,69199,553656,504,38070,2017,0,0,0,2023,50792041,642471,930242008
wi-fi,37.65.43.81,62585,499616,411,38070,2015,0,0,0,2030,56480625,645183,934168376
wi-fi,37.65.43.81,66878,537169,1994,38070,2031,0,0,0,2039,52765016,648802,939408080
wi-fi,37.65.43.81,65522,525959,1051,38070,2038,0,0,2,2045,54048197,651515,943333000
wi-fi,37.65.43.81,60047,478917,872,38070,2027,0,0,0,2054,59618353,655136,948577888
wi-fi,37.65.43.81,62946,506546,866,38070,2060,0,0,2,2061,56558631,657866,952527424
wi-fi,37.65.43.81,63294,505547,409,38070,2067,0,0,3,2069,56890368,661481,957759888
wi-fi,37.65.43.81,56748,485027,2550,38070,2075,0,0,0,2079,59583823,665136,963055456
wi-fi,37.65.43.81,70739,564377,736,38070,2062,0,0,1,2086,51378898,667821,966941888
wi-fi,37.65.43.81,67123,537077,491,38070,2073,0,0,1,2094,54197582,670526,970858120
