label,connection_id,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,recv_rtt,retrans_out,total_lost,sack_out,total_retrans,rcv_buf,snd_buf,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
fibre,160.217.166.30;43160;5201,2635,21140,377,200000,200003,576,196,0,0,0,1328,0,1328,131072,2854912,241,153875193,18446744073709551615,980275
fibre,160.217.166.30;43160;5201,1877,14491,422,200000,200003,576,149,0,0,0,1331,0,1331,131072,2854912,179,166729031,18446744073709551615,988648
fibre,160.217.166.30;43160;5201,1953,17071,422,200000,200003,576,168,0,0,0,1331,0,1331,131072,2854912,207,163669568,18446744073709551615,997001
fibre,160.217.166.30;43160;5201,2467,18967,368,200000,200003,576,184,0,0,0,1331,0,1331,131072,2854912,227,161541371,18446744073709551615,1005357
fibre,160.217.166.30;43160;5201,2689,21147,362,200000,200003,576,242,0,0,0,1331,0,1331,131072,2854912,246,157015633,18446744073709551615,1013717
fibre,160.217.166.30;43160;5201,3020,23599,357,200000,200003,576,230,0,0,0,1331,0,1331,131072,2854912,260,148708674,18446744073709551615,1022055
fibre,160.217.166.30;43160;5201,1910,17227,333,200000,200003,576,168,0,0,0,1385,0,1385,131072,2854912,195,152785278,18446744073709551615,1029477
fibre,160.217.166.30;43160;5201,2241,17319,441,200000,200003,556,196,0,0,0,1385,0,1385,131072,2854912,202,157429135,18446744073709551615,1032485
fibre,160.217.166.30;43160;5201,2572,19025,539,200000,200003,556,184,0,0,0,1385,0,1385,131072,2854912,219,155373161,18446744073709551615,1040915
fibre,160.217.166.30;43160;5201,2820,21386,478,200000,200003,556,230,0,0,0,1385,0,1385,131072,2854912,240,151474048,18446744073709551615,1049241
fibre,160.217.166.30;43160;5201,3052,23690,443,200000,200003,556,230,0,0,0,1385,0,1385,131072,2854912,260,148137441,18446744073709551615,1057613
fibre,160.217.166.30;43160;5201,2137,16901,355,200000,200003,556,149,0,0,0,1431,0,1431,131072,2854912,191,152537814,18446744073709551615,1066020
